created_at,sentimental_value,sentiment_value_r,hashtags
Sat Mar 21 04:51:04 +0000 2020,0.5,1,nan
Sat Mar 21 06:18:51 +0000 2020,0.5,1,socialdistancing corona covid19 aburoad adventure travelling traveldiaries desaturated quarantine homequarantine traveller rajasthantourism rajasthan contrast highlights
Sat Mar 21 04:36:06 +0000 2020,0.8,1,Corona sarvebhavantusukhinah BeatHome JanCurfew
Sat Mar 21 06:38:08 +0000 2020,0.040740741,1,corona awareness india world quotestagram
Sat Mar 21 06:18:13 +0000 2020,0.65,1,jantacurfew goodtimes acchedin goa vacations throwback covid19 corona fashion mensfashion menstyle likeforlikes likeforfollow instadaily
Sat Mar 21 06:24:30 +0000 2020,0,0,covid19 corona pandemic awareness msigaming xombied gamersofinstagram gamerconnect work joblife
Sat Mar 21 05:14:02 +0000 2020,0.366666667,1,corona reincarnation selfless selfmotivation selfcare
Sat Mar 21 05:39:20 +0000 2020,0.44,1,therohitsharmapdt corona coronamemes coronavirusitalianews coronavirusmemes coronavirus
Sat Mar 21 06:16:36 +0000 2020,-0.266666667,-1,nan
Sat Mar 21 05:32:34 +0000 2020,-0.2,-1,jantacurfew 22march indiafightscorona covid19 amitabhbachchan corona
Sat Mar 21 06:46:30 +0000 2020,0,0,breakthechain corona
Sat Mar 21 07:30:50 +0000 2020,0,0,nan
Sat Mar 21 06:56:12 +0000 2020,0.370833333,1,mahamari corona covid19 stayhome staysafe
Sat Mar 21 06:56:24 +0000 2020,0.344444444,1,coronavirus homedelivery goodfood staysafe wedeliverfood sachdevas loveforfood foodlovers fooddelivery corona
Sat Mar 21 07:27:27 +0000 2020,0,0,corona coronavirusitalianews coronaindia healthyindia safeindia
Sat Mar 21 06:28:04 +0000 2020,0.161904762,1,fightcorona fightcoronavirus fightcovid19 fightcoronavirustogether MADWithAZ TheJanzRocks
Sat Mar 21 08:27:13 +0000 2020,0,0,Jantacurfew
Sat Mar 21 10:43:59 +0000 2020,0,0,nan
Sat Mar 21 10:39:41 +0000 2020,-0.05625,-1,Stay stayhome corona codiv19 jantacurfew
Sat Mar 21 11:02:03 +0000 2020,0.327272727,1,corona
Sat Mar 21 07:57:18 +0000 2020,0,0,corona awareness jantacerfew indiawrites
Sat Mar 21 10:11:31 +0000 2020,0,0,staysafe covid19 coronavirusinindia rain kerala munnar teaharvester india
Sat Mar 21 09:51:11 +0000 2020,0.425,1,tripleoneanimation tripleone coronavirusitalianews coronavirus coronavirus corona coronamemes
Sat Mar 21 08:57:07 +0000 2020,-0.35,-1,Corona JantaCurfew Curfew FightFromCorona Covid19 GujaratFightsCovid19 KanikaKaCoronaCrime
Sat Mar 21 09:18:03 +0000 2020,0.241666667,1,covid19 corona healthfirst stayathome workfromhome safetyfirst 22march jantacurfew techdost meerut meerutcity noida delhi
Sat Mar 21 08:19:23 +0000 2020,0,0,nan
Sat Mar 21 08:22:13 +0000 2020,0.378787879,1,nan
Sat Mar 21 10:40:38 +0000 2020,0.625,1,indiafightscorona stayhome stayhealthy staystrong staysafe staypositive stayfocused corona fightagainstcoronavirus laundry laundryindia laundrytricity laundry laundryday
Sat Mar 21 10:41:15 +0000 2020,0,0,indiafightscorona stayhome stayhealthy staystrong staysafe staypositive stayfocused corona fightagainstcoronavirus laundry laundryindia laundrytricity laundry laundryday
Sat Mar 21 09:12:11 +0000 2020,0.3,1,coronavirus corona coronamemes safetyfirst jantacurfew 22march saynotocorona stayawayfromcoronavirus coronagoaway
Sat Mar 21 09:14:16 +0000 2020,0,0,nan
Sat Mar 21 13:40:15 +0000 2020,-0.5,-1,instagood follow like followme instaphoto instalike corona
Sat Mar 21 11:07:19 +0000 2020,0,0,corona coronavirus awareharyana covid19
Sat Mar 21 12:07:00 +0000 2020,0.277651515,1,nan
Sat Mar 21 13:46:10 +0000 2020,0,0,covid19 corona youtuber youtube apple shotoniphone bengaluru kannadayoutubers
Sat Mar 21 11:57:08 +0000 2020,0.5,1,stayhomestaysafe coronavirusindiapdate coronaindia coronavirusoutbreakindia coronachainscare covid19india covid19
Sat Mar 21 11:44:07 +0000 2020,0.616666667,1,corona instrumental love peace guitar guitarsolo
Sat Mar 21 13:45:40 +0000 2020,0.583333333,1,corona destination naturelovers dreamscometrue instapassport neverstopdreaming exploreeverything bestoftheday
Sat Mar 21 13:45:33 +0000 2020,1,1,tripleoneanimation tripleone coronavirusitalianews coronavirus coronavirus corona lettest news
Sat Mar 21 12:03:19 +0000 2020,0.5,1,corona mask shoot india canonphotography themed staysafe quarantine instagram upload indianphotography coi soi shoutoutshoutouts
Sat Mar 21 11:29:10 +0000 2020,0.4,1,corona thingstoobelearn
Sat Mar 21 13:24:42 +0000 2020,0,0,nan
Sat Mar 21 12:18:03 +0000 2020,0,0,corona janatacurfew
