created_at,sentimental_value,sentiment_value_r,hashtags
Fri May 01 16:17:29 +0000 2020,0.5625,1,nan
Fri May 01 16:30:35 +0000 2020,-0.028409091,-1,smc covid19 surati zones surat
Fri May 01 17:15:19 +0000 2020,-0.5,-1,nan
Fri May 01 18:11:26 +0000 2020,0.95,1,21dayslockdown 21dayslockdownindia covid19 covid19india covid19kolkata corona covidart covidartexhibit coronaindia artquarantined
Fri May 01 19:31:44 +0000 2020,-0.05,-1,nan
Fri May 01 21:21:57 +0000 2020,0.291666667,1,IndiaFightsCorona COVID19 CoronaOutbreak SwasthaBharat HealthForAll Lockdown2
Fri May 01 20:52:59 +0000 2020,0,0,coronavirus sushi seafood food carryout carmelindiana localrestaurant local fresh partytray togo yummy miracleindy MiracleSushi
Fri May 01 21:21:43 +0000 2020,-0.125,-1,coronainindia corona lockdown lockdowneffect laborday thoughtsnviews
Fri May 01 23:27:22 +0000 2020,0.45,1,iufb Hoosiers COVID19 NCAA
Sat May 02 00:53:16 +0000 2020,0.207954545,1,covid19 socialdistancing broyles coronavirus broadripple indiana indianapolis
Sat May 02 02:33:36 +0000 2020,0.1875,1,nan
Sat May 02 02:39:48 +0000 2020,0.4,1,nan
Sat May 02 03:05:27 +0000 2020,0,0,stayhome staysafe shopclosed
Sat May 02 04:21:36 +0000 2020,0.5,1,nan
Sat May 02 06:12:37 +0000 2020,0.25,1,business worldheritage worldtrends worldbuilding sustainable governmentofndia welfare home homedecor
Sat May 02 04:16:02 +0000 2020,0.212121212,1,corona
Sat May 02 07:38:15 +0000 2020,0.225,1,nan
Sat May 02 06:13:28 +0000 2020,0,0,nan
Sat May 02 06:33:06 +0000 2020,0.248958333,1,nan
Sat May 02 07:35:03 +0000 2020,0.75,1,nan
Sat May 02 06:37:28 +0000 2020,0.420833333,1,ananthukhadibhavan ananthuposts khadiproducts khadi handloom handloomlove nagercoil kanyakumari tamilnadu gocorona corona
Sat May 02 07:52:59 +0000 2020,0,0,coronavirus GCPIAN GCPRohru
Sat May 02 07:19:27 +0000 2020,0,0,nan
Sat May 02 06:30:24 +0000 2020,0.5,1,coronavirus corona covid19 covid19 coronaupdatesindia virus
Sat May 02 07:01:54 +0000 2020,0.1,1,missfootball wemissfootballseason footballlovers soccer covid lockdown quorantine
Sat May 02 06:56:00 +0000 2020,1,1,COVID19 AndhraPradesh APFightsCorona StayHome
Sat May 02 06:32:00 +0000 2020,0,0,savethechidren covid19 ableforgood
Sat May 02 09:58:14 +0000 2020,0.4375,1,selflove selfcare empathy quarantine covid19
Sat May 02 09:52:18 +0000 2020,0.525,1,coronavirus 2ndtime pledge
Sat May 02 09:03:53 +0000 2020,0.25,1,flowers national Lockdown covid19 Enjoy beautiful uttrakhand fromhome
Sat May 02 09:28:17 +0000 2020,0.6,1,nan
Sat May 02 09:12:38 +0000 2020,-0.0625,-1,movie released covid19 pakistan china Lockdown
Sat May 02 10:46:09 +0000 2020,0,0,nan
Sat May 02 10:57:41 +0000 2020,0,0,Headlines Covid19 BJP Modi CoronaVirus India China Wuhan Spain USA Italy News Corona covidnews
Sat May 02 11:00:06 +0000 2020,0.508506944,1,Headlines Covid19 BJP Modi CoronaVirus India China Wuhan
Sat May 02 11:18:39 +0000 2020,0.25,1,cute tbt tweegram
Sat May 02 10:52:32 +0000 2020,-0.1875,-1,Headlines Covid19 BJP Modi CoronaVirus India China Wuhan Spain USA Italy News Corona covidnews coronanews
Sat May 02 10:32:13 +0000 2020,0,0,nan
Sat May 02 11:17:37 +0000 2020,0.35,1,cute tbt tweegram
Sat May 02 11:04:39 +0000 2020,0.4,1,foodiesofindia pasta cooking homemade covid19 lockdown mumbai
Sat May 02 10:33:16 +0000 2020,0.2,1,nan
Sat May 02 10:16:46 +0000 2020,0.136363636,1,covid19 india hope lifeisbeautiful live
Sat May 02 10:26:49 +0000 2020,-0.025,-1,nan
Sat May 02 10:11:25 +0000 2020,0.2,1,nan
Sat May 02 12:09:17 +0000 2020,0.675,1,coronavirus lockdown3
Sat May 02 12:38:05 +0000 2020,0.4375,1,nan
Sat May 02 11:44:51 +0000 2020,-0.018452381,-1,shoes go camera shoutout stopmotion art ghoomertv ghoomerstudio coronavirus covid19 lockdown creativity puma crocs
Sat May 02 13:40:30 +0000 2020,0,0,graffiti graffitiart graffitiphotography graffitiporn graffitigram streetphotography streetart streetarteverywhere streetartphotography streetartandgraffiti covid19 covid
Sat May 02 14:11:24 +0000 2020,-0.05,-1,foodiesofindia pasta homemade cooking covid19 lockdown mumbai
Sat May 02 14:12:05 +0000 2020,0.5,1,shankarjohil
Sat May 02 13:18:00 +0000 2020,0,0,SpecialService SUV Covid19 Emergency EssentialServices Vadodara Ahmedabad
Sat May 02 13:14:44 +0000 2020,0.2,1,COVID19 LockDown2020 stayhomestaysafe MYFMIndia BinaMileSaathLade UnlockZindagi
Sat May 02 13:06:24 +0000 2020,0,0,TikTok China lockdownmotivation pandemic covid19 India boycotttiktok
Sat May 02 13:46:29 +0000 2020,0.460092995,1,surties positive surati covid19 update surat
Sat May 02 13:16:40 +0000 2020,-0.05625,-1,COVID19 LockDown2020 stayhomestaysafe MYFMIndia BinaMileSaathLade UnlockZindagi
Sat May 02 13:50:25 +0000 2020,0,0,gedhiroute gedhiroutediscoveries gedhirouterecommendation GRQuarantimes gedhi coronawaligedhi ludhiana punjab instagram
Sat May 02 13:17:54 +0000 2020,0,0,COVID19 LockDown2020 stayhomestaysafe MYFMIndia BinaMileSaathLade UnlockZindagi
Sat May 02 13:15:38 +0000 2020,0.2275,1,COVID19 LockDown2020 stayhomestaysafe MYFMIndia BinaMileSaathLade UnlockZindagi
Sat May 02 13:05:46 +0000 2020,0.45,1,DeshJitegaCoronaHarega jaihind fulllockdown sarejahanseacha coronavirus corona yogi yogiadityanath covid19 luckywelivehawaii lucknow apnaghar
Sat May 02 13:13:34 +0000 2020,0.158888889,1,COVID19 LockDown2020 stayhomestaysafe MYFMIndia BinaMileSaathLade UnlockZindagi
Sat May 02 13:55:00 +0000 2020,0.064880952,1,21dayslockdown 21dayslockdownindia covid19 covid19india covid19kolkata corona covidart covidartexhibit coronaindia artquarantined
Sat May 02 15:06:55 +0000 2020,0.546875,1,coronavirus lifeisbeautiful balconyconcert stayhome livemusic
Sat May 02 14:42:55 +0000 2020,0.2125,1,shortfilms shortfilm shortfilmfestival covid19 coronavirus corona coronavid19
Sat May 02 14:34:04 +0000 2020,0,0,nan
Sat May 02 16:19:57 +0000 2020,0,0,nan
Sat May 02 16:21:17 +0000 2020,0,0,Technology Employess Covid19 Employee Thanks
Sat May 02 16:03:45 +0000 2020,-0.125,-1,nan
Sat May 02 16:22:35 +0000 2020,0,0,MackVocals thunder storm rain covid19 lockdown
Sat May 02 17:17:27 +0000 2020,0,0,freedomfromcovid19 covid19 lockdown2020 corona joinme fightagainstcoronavirus
Sat May 02 17:46:29 +0000 2020,0.3,1,lockdown staysafe stayhome covid19 noshopping eid2020 india mangalore bangalore
Sat May 02 18:30:30 +0000 2020,0.55,1,zerohungerchallenge Event covid foodforroadsidepeople khammam Day Location
Sat May 02 18:27:30 +0000 2020,0.5,1,nan
Sat May 02 18:13:34 +0000 2020,0.65,1,FeedTheStrays CoronaVirus Bengaluru India
Sat May 02 19:23:22 +0000 2020,0.3,1,nan
Sat May 02 19:03:15 +0000 2020,0.116666667,1,nan
Sat May 02 18:51:32 +0000 2020,0.3,1,nan
Sat May 02 19:50:33 +0000 2020,0.25,1,nan
Sat May 02 19:42:05 +0000 2020,0,0,nan
Sat May 02 19:43:38 +0000 2020,0,0,nan
Sat May 02 19:47:01 +0000 2020,0.164285714,1,nan
Sat May 02 22:16:05 +0000 2020,0.579308712,1,darwintheory currentlyreading covid19 coronavirus currentsituation adaptability change brightfuture
Sun May 03 00:20:58 +0000 2020,0,0,nan
Sun May 03 00:38:12 +0000 2020,0,0,nan
Sun May 03 02:55:30 +0000 2020,0.193181818,1,familytime stayhomestaysafe saferahegaindia indiafightscorona covid19
Sun May 03 02:11:44 +0000 2020,0,0,nan
Sun May 03 02:39:40 +0000 2020,-0.0625,-1,nan
Sun May 03 02:43:22 +0000 2020,0.2,1,thunder rain storm mackvocals covid19 lockdown
Sun May 03 04:10:36 +0000 2020,0.5,1,nan
Sun May 03 03:59:04 +0000 2020,0.6,1,nan
Sun May 03 04:23:34 +0000 2020,0.15,1,corona
Sun May 03 04:10:06 +0000 2020,-0.125,-1,nan
Sun May 03 03:38:44 +0000 2020,-0.15,-1,hipaae coi myspc ngtindia eyeshotmag woi soi streetphotographyindia spicollective apfmagazine magnumphotos nustaharamkhor abybaig
Sun May 03 03:55:45 +0000 2020,-0.125,-1,power of nature indiafightscorona stayhome staysafe nature
Sun May 03 04:18:12 +0000 2020,0,0,nan
Sun May 03 03:51:33 +0000 2020,0,0,covid19 onedown candystripes
Sun May 03 05:38:01 +0000 2020,0,0,COVID19 warrior
Sun May 03 04:09:06 +0000 2020,0,0,nan
Sun May 03 04:10:36 +0000 2020,0.253968254,1,nan
Sun May 03 06:55:27 +0000 2020,0,0,nan
Sun May 03 06:49:48 +0000 2020,0.4,1,nan
Sun May 03 06:40:20 +0000 2020,0.109722222,1,indianairforce indiafightscorona coronavirus
Sun May 03 07:38:12 +0000 2020,0,0,covid19 complexity masterclass
Sun May 03 05:47:45 +0000 2020,0.116666667,1,IndianDiaries
Sun May 03 08:11:29 +0000 2020,0,0,nan
Sun May 03 10:26:07 +0000 2020,-0.133333333,-1,covid19 Jaihind indiafightscorona indiannavy stayhome staysafe mumbai india
Sun May 03 09:57:44 +0000 2020,0,0,covid19 lockdown bhubaneswar solarenergy vihaansolar waareegroup waareeenergies
Sun May 03 09:23:19 +0000 2020,-0.291666667,-1,nan
Sun May 03 10:23:08 +0000 2020,-0.05,-1,nationalsong vandematram goosebumps
Sun May 03 08:52:20 +0000 2020,0,0,proud indian indianairforce covid coronavirus lockdown
Sun May 03 08:37:31 +0000 2020,0,0,nan
Sun May 03 10:27:36 +0000 2020,0,0,fightagainstcoronavirus covid19 indiafightscorona worker
Sun May 03 08:57:40 +0000 2020,0.1734375,1,nan
Sun May 03 09:06:13 +0000 2020,0.125,1,proud indian indianairforce covid coronavirus lockdown
Sun May 03 10:28:11 +0000 2020,0.316666667,1,day40 lockdown covid19 books librarian staysafe steyhome
Sun May 03 10:01:51 +0000 2020,0,0,coronafighter coronaworriors gocorona covid19 covid19lockdown Stayathome lockdown2020 lockdown bigsalute bigsalutetoindianarmy
Sun May 03 09:24:45 +0000 2020,0.041666667,1,nan
Sun May 03 09:59:32 +0000 2020,0.390625,1,COVID19 coronawarrior caronawarriors
Sun May 03 11:01:15 +0000 2020,0,0,nan
Sun May 03 10:37:03 +0000 2020,0.136363636,1,ActWise SonuKeWhatsApp Covid19 CoronaVirus India Lockdown3 StayHome StaySafe SocialDistancing FunNashik Nashik NashikCity nashikkar nashikkar nashikk
Sun May 03 11:38:45 +0000 2020,0,0,nan
Sun May 03 10:45:21 +0000 2020,0.475,1,Hills corona covid coronavirus stayhome virus quarantine staysafe lockdown stayathome socialdistancing homequarantine selfquarantine instadaily instapic picoftheday
Sun May 03 11:15:08 +0000 2020,0,0,nan
Sun May 03 12:26:35 +0000 2020,0.425,1,paagal choreography choreo corona19 coronavirus dance dancer likeforlikes officialsda
Sun May 03 14:14:23 +0000 2020,0.25,1,India mhow army indianarmy indianairforce coronavirus covid19 indiafightscorona
Sun May 03 14:45:08 +0000 2020,0.166666667,1,HelloSuratCity surties surat covid19 update
Sun May 03 15:09:00 +0000 2020,0.155,1,nan
Sun May 03 14:24:34 +0000 2020,0.318181818,1,hellosuratcity surati covid19 surat
Sun May 03 14:35:16 +0000 2020,-0.39375,-1,nan
Sun May 03 14:02:31 +0000 2020,0.8,1,chandrapur Corona Stayhome StaySafe
Sun May 03 14:57:40 +0000 2020,-0.1,-1,coronavirus corona coronamemes coronavid19 coronavirus coronavirusmemes coronastopkarona covid
Sun May 03 15:50:36 +0000 2020,0,0,StayAwareStaySafe IndiaFightsCorona StayHome StayHealthy
Sun May 03 15:16:20 +0000 2020,-0.083333333,-1,nan
Sun May 03 16:12:45 +0000 2020,0.8,1,maharashtra punennews milokmat police punepolice puneindia corona covid19 coronavrus news love instagood me cute tbt photooftheday instamood iphonesia
Sun May 03 16:13:50 +0000 2020,0,0,maharashtra punennews milokmat police punepolice puneindia corona covid19 love instagood me cute tbt photooftheday instamood iphonesia
Sun May 03 15:56:36 +0000 2020,0,0,nan
Sun May 03 15:50:54 +0000 2020,0.15,1,StayAwareStaySafe IndiaFightsCorona StayHome StayHealthy
Sun May 03 16:49:47 +0000 2020,0.5,1,nan
Sun May 03 17:30:50 +0000 2020,0.520833333,1,nan
Sun May 03 17:07:21 +0000 2020,-0.007878788,-1,nan
Sun May 03 17:36:46 +0000 2020,0.7,1,nan
Sun May 03 17:01:58 +0000 2020,0.244444444,1,AllIndiaWay2Fame Quarantinesinger INTERNATIONAL onlinetalenthunt lockdown covid19 coronavirus
Sun May 03 17:54:18 +0000 2020,-0.25,-1,21dayslockdown 21dayslockdownindia covid19 covid19india covid19kolkata corona covidart covidartexhibit coronaindia artquarantined
Sun May 03 18:26:06 +0000 2020,0.2625,1,covid19 PalavaCity
Sun May 03 17:48:50 +0000 2020,0,0,nan
Sun May 03 18:20:02 +0000 2020,0,0,nan
Sun May 03 19:45:27 +0000 2020,0,0,armedforces indiandoctors frontlineworkers nation pandemic coronavirus covid19 doctors rosepetals indianarmy indiannavy indianairforce
Sun May 03 20:44:58 +0000 2020,0.195454545,1,Indiana Igersindy INHendricks covid19 coronavirus july2020 independenceday fireworks socialdistancing seinfeld
Sun May 03 20:46:34 +0000 2020,0,0,aviciitribute avicii chaye teatime ludhiana covid19 stayhome staysafe chill photooftheday photography mobilephotography spotify
Sun May 03 20:40:54 +0000 2020,0,0,covid19cooking homecooking homecookedmeal
Sun May 03 20:41:20 +0000 2020,-0.05,-1,nan
Sun May 03 23:43:07 +0000 2020,0.183441558,1,nan
Mon May 04 01:04:56 +0000 2020,0.294318182,1,armed
Mon May 04 03:03:42 +0000 2020,0.25,1,nan
Mon May 04 02:57:42 +0000 2020,0.10625,1,coronavirus narendramodi applesetup aarogyasetu lockdown quarantine coronaindia
Mon May 04 03:01:26 +0000 2020,0.184027778,1,qoutesoftheday motivated peaceful peace coronavirus covid19
Mon May 04 03:53:14 +0000 2020,0.05,1,covid19
Mon May 04 03:48:58 +0000 2020,0.1,1,nan
Mon May 04 03:49:16 +0000 2020,0,0,nan
Mon May 04 06:06:33 +0000 2020,0,0,covid19pandemic covid19 precovidtimes beforecorona beachcrowd reserveforest reserveforestbeach beach travelmemory
Mon May 04 05:28:05 +0000 2020,0,0,lockdown
Mon May 04 06:01:09 +0000 2020,0,0,StayHome staysafe lockdown corona covid handwash skincaretips hairfall haircaretips lipcare nailcare
Mon May 04 05:12:22 +0000 2020,-0.2,-1,BesanAtaPar TomatoOnionChilliChutney Corona creativity vegetarian food India
Mon May 04 07:25:20 +0000 2020,-0.033333333,-1,nan
Mon May 04 07:45:40 +0000 2020,0.425,1,covid19 coronawarriors police doctors corona salute respect techdost
Mon May 04 06:39:03 +0000 2020,0.033333333,1,stayhome enjoysafely
Mon May 04 07:20:09 +0000 2020,-0.083333333,-1,nan
Mon May 04 07:28:06 +0000 2020,0,0,Repost corona covid stayhome dop directorofphotography cinematography cinematographer cameraman scubadiving scuba underwater underwaterphotography
Mon May 04 07:16:37 +0000 2020,0,0,maytheforcebewithyou maythe4thbewithyou stormtrooper starwars force covid19 socialdistancing staysafe
Mon May 04 07:41:52 +0000 2020,-0.106875,-1,A covid19 indianairforce
Mon May 04 06:19:06 +0000 2020,0.336111111,1,SpecialService SUV Covid19 Emergency EssentialServices Vadodara Surat
Mon May 04 07:54:40 +0000 2020,0,0,StayHome StaySafe LockDown MayukMandal
Mon May 04 07:20:34 +0000 2020,0.35,1,nan
Mon May 04 09:16:55 +0000 2020,-0.8,-1,stayathome stopthespread 27estates workfromhomelife staysafestayhome socialdistancing money homeoffice instagood instagram lifestyle future futureofwork
Mon May 04 09:29:39 +0000 2020,-0.3,-1,nan
Mon May 04 09:07:41 +0000 2020,0.0125,1,nan
Mon May 04 09:35:18 +0000 2020,0.625,1,nan
Mon May 04 09:08:15 +0000 2020,0,0,COVIDWAR BhartiTravels
Mon May 04 10:05:18 +0000 2020,0,0,Foodiesofindia mango mumbai summer coronavirus homemade
Mon May 04 10:42:42 +0000 2020,0,0,Melodica Cover Practice Clip Fun Quarantine GoCorona Corona Go
Mon May 04 11:06:56 +0000 2020,0.212121212,1,mentalhealth skilldevelopment
Mon May 04 10:19:20 +0000 2020,-0.175,-1,ananthukhadibhavan ananthuposts khadiproducts khadi handloom handloomlove nagercoil kanyakumari tamilnadu gocorona corona
Mon May 04 10:17:32 +0000 2020,-0.5,-1,stayhomestaysafe HumanShelter jabalpurdiaries Indiafightscorona
Mon May 04 10:38:04 +0000 2020,0.480208333,1,coimbatore nonsense coronavirus
Mon May 04 12:51:58 +0000 2020,-0.166666667,-1,covid19 art XgenAnimationSchool xgenartcollege xgen Genres
Mon May 04 12:49:54 +0000 2020,0,0,HelloSuratCity Covid19 surati corona update surat
Mon May 04 12:23:57 +0000 2020,0.283333333,1,corona warriors doctor police army helper hero nurse coronavirus indians hindumuslimbhaibhai hindumuslimunity freefire freefire
Mon May 04 12:41:35 +0000 2020,0.28125,1,nan
Mon May 04 12:17:41 +0000 2020,0.483333333,1,nan
Mon May 04 12:16:26 +0000 2020,0.5,1,nan
Mon May 04 11:36:27 +0000 2020,0.7,1,corona covid covid19
Mon May 04 11:48:59 +0000 2020,0,0,nan
Mon May 04 13:50:42 +0000 2020,0.244318182,1,nan
Mon May 04 13:33:10 +0000 2020,0,0,covid19 immunity sanitize universe pet petlovers
Mon May 04 14:07:46 +0000 2020,0,0,icecream yellow foodiesofindia mumbai summer coronavirus lockdown craving
Mon May 04 14:39:52 +0000 2020,0,0,coronavirus coronavirusrd coronaviruspandemic coronavirusoutbreak coronaviruslockdown coronavirus2020 coronavir¼s coronavirusoutbreak coronaviruschallenge news virus viral
Mon May 04 16:15:23 +0000 2020,0.232,1,nan
Mon May 04 17:40:28 +0000 2020,0,0,nan
Mon May 04 19:43:35 +0000 2020,0.384090909,1,nan
Mon May 04 20:26:56 +0000 2020,0.258928571,1,nan
Mon May 04 20:58:16 +0000 2020,-0.152083333,-1,nan
Tue May 05 01:49:14 +0000 2020,0.038888889,1,nan
Tue May 05 01:03:07 +0000 2020,0,0, ramadandecorations iftar ramadanday corona indiafightscoronavirus covid19 covidindia stayhome staysafe
Tue May 05 03:23:47 +0000 2020,0.013888889,1,vdjsoul quarantinediaries quarantineandchill breakfastofchampions goa bagabeach staysafe stayathome stuckathome like4like followforfollow coronavirus coronamemes picoftheday
Tue May 05 02:57:33 +0000 2020,-0.1953125,-1,nan
Tue May 05 05:10:55 +0000 2020,0,0,Repost covid19 paneldiscussion automotive autocomponent
Tue May 05 04:14:39 +0000 2020,0,0,HandHygiene COVID19
Tue May 05 05:20:40 +0000 2020,0.2,1,Repost COVID19 MercedesBenz MBUX
Tue May 05 05:42:06 +0000 2020,0,0,coronavirus lockdown2020 outofthebox
Tue May 05 05:44:48 +0000 2020,0.0125,1,covid19
Tue May 05 04:03:44 +0000 2020,0.7,1,mybackyard rubythroatedhummingbird backyardbirds stayathome covid19 pandemic
Tue May 05 05:18:11 +0000 2020,0,0,Repost covid19 cars paneldiscussion automotive
Tue May 05 05:47:22 +0000 2020,0.3,1,Memories Photography Canon6D ShotonCanon UPTourism Everydaylife LifeinBateshwar ColoursofLife Travelphotography TravelBlogger
Tue May 05 05:12:46 +0000 2020,0.193181818,1,imaginedragons believer guitarist leadguitarist avijit lespaulspecial audiovideo covid19 stayathome staysafe stayhealthy quarantine jamming
Tue May 05 04:09:48 +0000 2020,0,0,sars
Tue May 05 05:10:16 +0000 2020,0,0,Repost paneldiscussion sanitation digitisation covid19 automotive autocomponent acmaindia
Tue May 05 06:11:31 +0000 2020,0.3125,1,NewsAlert covid
Tue May 05 06:03:19 +0000 2020,0.4,1,under covid19 guidelines
Tue May 05 05:53:05 +0000 2020,0.25,1,ananthukhadibhavan ananthuposts khadiproducts khadi handloom handloomlove nagercoil kanyakumari tamilnadu gocorona corona coronalockdown
Tue May 05 08:03:46 +0000 2020,-0.1,-1,nan
Tue May 05 08:11:38 +0000 2020,-0.333333333,-1,nan
Tue May 05 08:03:46 +0000 2020,0.85,1,nan
Tue May 05 07:47:20 +0000 2020,0,0,hygiene hygienistlife hygieneday hygieneday2020 sanatize clean healthy heathyyou safehands covid coronavirus lockdown2020 stayhome stayhealthy stayfit staysafe
Tue May 05 10:24:05 +0000 2020,-0.25,-1,fajjutalks coronavirus corona covid19 quarentine quarentinelife lockdown sanitize
Tue May 05 08:29:22 +0000 2020,0,0,simple Quarantine stayhome india mumbai delhi banglore instagood instagram instadaily instamood instacool instalove usa miindia covid newyork dubai
Tue May 05 09:24:54 +0000 2020,0.15,1,BTech cs mountzioncollegeofengineering fightagainstcorona Covid19 kerala india
Tue May 05 11:38:37 +0000 2020,0,0,nan
Tue May 05 13:23:01 +0000 2020,-0.122222222,-1,SpecialService SUV Covid19 Emergency EssentialServices Vadodara Bharuch
Tue May 05 13:15:53 +0000 2020,0,0,Covid19SA GoCorona SouthAfricaMusicians SAM Live FbLive LNiteshKumar
Tue May 05 13:05:35 +0000 2020,-0.8,-1,interview coding codingninjas crack interviews crack pandemic covid covid19
Tue May 05 12:15:17 +0000 2020,-0.217113095,-1,nan
Tue May 05 12:01:26 +0000 2020,0,0,tripleoneanimation tripleone psstarry photoshop photomanipulation vectorillustration vector vectorart
Tue May 05 13:14:16 +0000 2020,0,0,nan
Tue May 05 13:55:46 +0000 2020,0.133333333,1,lockdown covid coronavirus corona quarantine stayhome staysafe socialdistancing stayathome india love virus pandemic isolation instagram
Tue May 05 14:15:00 +0000 2020,0,0,covid19 positivevibes coronavirus
Tue May 05 13:57:23 +0000 2020,0.192045455,1,youngthunder streetphilosophy freestyle rapmusic hiphopmusic quarantine practice lasvegas healthyliving stayhome coronavirus
Tue May 05 14:33:15 +0000 2020,0.9765625,1,nan
Tue May 05 15:40:25 +0000 2020,0,0,india pune maharashtra corona lockdown beer carlsberg elephant cheers drinkresponsibly after30days snapseed personal photography collection lifeisgood situationisbad
Tue May 05 15:45:08 +0000 2020,-0.0625,-1,nan
Tue May 05 15:14:41 +0000 2020,0,0,nan
Tue May 05 15:24:55 +0000 2020,0.15,1,you
Tue May 05 16:16:46 +0000 2020,-0.1,-1,nan
Tue May 05 16:35:56 +0000 2020,0.3,1,stayhome staysafe covid quarantine stayhealthy
Tue May 05 17:37:58 +0000 2020,0.433333333,1,stayhome staysafe instagram
Tue May 05 18:37:59 +0000 2020,0.6375,1,TravelsALaCarte byRainnaGoel rainnagoel mumbai mumbailockdown2020 lockdownmumbai corona coronavirus virus mumbailockdown mumbai italycoronavirus lockdown
Tue May 05 18:29:41 +0000 2020,0.3,1,nan
Tue May 05 18:38:13 +0000 2020,0,0,travelsalacarte byRainnaGoel rainnagoel lockdownmumbai mumbailockdown corona coronavirus travelban quarantine mumbai virus viruscoronavirus
Tue May 05 18:28:41 +0000 2020,0,0,coronavirus
Tue May 05 18:37:55 +0000 2020,0,0,TravelsALaCarte byRainnaGoel rainnagoel mumbai mumbailockdown2020 lockdownmumbai corona coronavirus virus mumbailockdown mumbai italycoronavirus lockdown curfew
Tue May 05 20:26:52 +0000 2020,0,0,Corona covid virus cure stayhome pandemic earth quarantine quarantineandchill humor quotes
Tue May 05 19:17:12 +0000 2020,-0.1,-1,fashion coronavirus lockdown2020 Legend lockdown lockdownlife highheels styleblogger style
Tue May 05 21:05:13 +0000 2020,0,0,nan
Tue May 05 21:02:07 +0000 2020,-0.031818182,-1,coronavirus
Tue May 05 21:02:35 +0000 2020,0.14,1,nan
Tue May 05 23:49:34 +0000 2020,0,0,nan
Wed May 06 01:47:39 +0000 2020,0.25,1,nan
Wed May 06 03:29:01 +0000 2020,-0.25,-1,SpecialService SUV Covid19 Emergency EssentialServices Vadodara Mumbai
Wed May 06 02:39:34 +0000 2020,0.375,1,nan
Wed May 06 04:52:45 +0000 2020,-0.041666667,-1,maulik maulikthummar maulikphotography stayhome cap appleavenue stayhealthy covid indiafightscorona teresa maulikthummarphotography mdedited photooftheday liking
Wed May 06 04:28:00 +0000 2020,0.5,1,nan
Wed May 06 04:56:57 +0000 2020,-0.335714286,-1,nan
Wed May 06 04:19:20 +0000 2020,0.008888889,1,nan
Wed May 06 03:43:40 +0000 2020,0.5,1,home return homesweethome india indian bharat we corona win
Wed May 06 04:45:58 +0000 2020,0,0,AllNewCRETA stayhome staysafe hyundaiindia hyundai covid19 shreemhyundai
Wed May 06 03:40:47 +0000 2020,0,0,nan
Wed May 06 04:14:52 +0000 2020,0,0,indyhair
Wed May 06 03:35:13 +0000 2020,-0.082638889,-1,FacetimePhotoshoot karishmadevnani socialdistancing covid19
Wed May 06 06:45:14 +0000 2020,0.122222222,1,fashion coronavirus lockdown2020 Legend lockdown lockdownlife highheels cute styleblogger style stayathome stayhome staysafe stayhealthy shoes shoes bollywood
Wed May 06 05:37:55 +0000 2020,0.5,1,nan
Wed May 06 05:26:10 +0000 2020,0.193602694,1,nan
Wed May 06 05:33:35 +0000 2020,-0.025,-1,Coronavirus terrorism
Wed May 06 06:52:41 +0000 2020,0.46328125,1,nan
Wed May 06 06:49:51 +0000 2020,0,0,nan
Wed May 06 05:51:37 +0000 2020,-0.2,-1,coronavirusnews covid19news staysafe stayhome tatimeswatches
Wed May 06 06:58:59 +0000 2020,0.325,1,nan
Wed May 06 07:31:52 +0000 2020,0.188095238,1,prapti
Wed May 06 07:29:36 +0000 2020,0,0,Beautiful Switzerland world beautiful wow love peace nature awesome lockdown covid19
Wed May 06 08:45:36 +0000 2020,1,1,Repost LakmeFashionWeek LFWSkillShare LFW 5DaysOfFashion Coronavirus covid19
Wed May 06 07:12:55 +0000 2020,0,0,nan
Wed May 06 08:26:20 +0000 2020,-0.55,-1,nan
Wed May 06 08:45:46 +0000 2020,0,0,coronavirus break lunch team coronawarriors
Wed May 06 07:36:50 +0000 2020,-0.14047619,-1,nan
Wed May 06 08:26:13 +0000 2020,0.245454545,1,nan
Wed May 06 07:41:42 +0000 2020,-0.0625,-1,nan
Wed May 06 09:57:36 +0000 2020,0.156565657,1,badabusiness drvivekbindra businessgrowth business businessconsultant businessgoals education learnathome corona lockdown lockdown2020 pune punebusiness
Wed May 06 08:54:10 +0000 2020,0,0,covid19 indiafightscorona dominos socialdistancing
Wed May 06 10:40:16 +0000 2020,0.73828125,1,wealthguru24x7 motivationalquotes motivation wealth inspiration covid19india coronavirus corona banaras
Wed May 06 10:00:17 +0000 2020,0,0,fitness fitnessmotivation fitnessroute fitnessrouteindia 6amclub coronavirus lockdown lockdown2020 covid19 marathon runnersofinstagram
Wed May 06 08:51:47 +0000 2020,0.094444444,1,COVID19
Wed May 06 09:02:42 +0000 2020,0,0,nan
Wed May 06 10:03:08 +0000 2020,0,0,lockdown covid19 Cooking family pals
Wed May 06 13:31:48 +0000 2020,0,0,fish in in
Wed May 06 13:56:08 +0000 2020,0,0,nan
Wed May 06 12:50:37 +0000 2020,-0.178571429,-1,coronavirus coronamemes coronawarriors respectcoronawarriors lockdownhangover lockdown3 lockdownlife
Wed May 06 13:04:19 +0000 2020,0,0,awareness covid
Wed May 06 13:56:11 +0000 2020,0,0,nan
Wed May 06 13:48:19 +0000 2020,0.783333333,1,corona update surat
